,Country,Status,Overview,Key Developments,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
11,France,Research,"The Bank of France has called on applicants to experiment with the use of a digital euro for interbank settlements, and will elect 10 innovative applications by July 10, 2020. The test is experimental and will not be used commercially, but it intends to investigate a digital euro system.","The experimentation program has three objectives in mind: show how “traditional” interbank settlement could be carried out using CBDC, identify the benefits of CBDC for the current market and understand how CBDC could foster financial innovation, and analyze the effects of CBDC on financial stability, monetary policy, and the regulatory environment. ",,,"Bank of France: “These experiments will act as a contribution by the Banque de France to a broader discussion within the Eurosystem, which will make any decision on whether to set up a CBDC. The tests are not intended to be continued on a long-term basis or applied on a wide scale by the Banque de France itself.”",,"https://www.banque-france.fr/sites/default/files/media/2020/03/30/fact_sheet_-_central_bank_digital_currency_30_march_2020.pdf
https://cointelegraph.com/news/frances-cbdc-test-moves-digital-euro-one-step-closer-to-reality
https://cointelegraph.com/news/bank-of-france-launches-experiment-program-on-central-bank-digital-currency",
12,Germany,Research,The German Bundesbank is taking a conservative approach toward adopting a digital euro. It is currently evaluating a digital currency's potential benefits and downsides as well as risks and opportunities.,"In September 2019, the German government published a “Blockchain strategy” to outline how the technology can help to facilitate the country’s digital transformation. 

At the beginning of 2020, the German crypto law came into effect. It regulates licensing of crypto assets for private entities and is expected to incentivize banks to create services related to crypto assets. Bundesbank President Jens Weidmann stressed during a speech on January 30 that governments must set the regulatory framework before introducing a digital currency. Weidmann had said in earlier statements that at this stage he does not see an added benefit of using a digital currency when compared to the Bundesbank’s current system. By contrast, the German Finance Minister Olaf Scholz has expressed support for introducing European ‘e-euro’ to ensure Europe’s financial marketplace does fall behind China, the United States, and private issuers such as Facebook.",,,"""Germany sees no need for a digital Euro in the shape of a CBDC” said Bundesbank President Jens Weidmann in 2019.",,,"The German Krypto Law, was also recently passed and is largely based on the EU money laundering directive."
13,Ghana,Research,The Bank of Ghana is exploring a CBDC and has authorized Ghana Commercial Bank to create e-money similar to mobile money.,The Bank of Ghana Governor Ernest Addison announced in a keynote address in 2018 that Ghana is researching a CBDC and the possibilities for a pilot project in a sandbox environment.,,,"Ernest Addison, Bank of Ghana's Governor, statement at the annual banking conference:  https://www.bog.gov.gh/wp-content/uploads/2019/11/23rd-Annual-Banking-Conference_Speech_Governor_final.pdf",,https://cointelegraph.com/news/ghana-exploring-digitized-national-currency-says-central-bank-exec,
14,"Hong Kong, SAR",Pilot,"In January of 2020, the Hong Kong Monetary Authority jointly published with the Bank of Thailand a study on the application of central bank digital currencies for cross-border payments. The Hong Kong Monetary Authority and Bank of Thailand developed a cross-border corridor network allowing participating banks to conduct peer-to-peer foreign exchange transactions. This was titled Project Inthanon-LionRock and was deemed a success, with Hong Kong hoping to expand the network and include more central banks in the project.","The Hong Kong Monetary Authority (HKMA) has been actively engaging in public-private partnerships to research the potential applications of a digital currency. As early as April 2017, the HKMA had been working with banks, distributed ledger startup R3, and Hong Kong Interbank Clearing Limited to research the feasibility of digital currencies as a payment system. This would later be coined Project LionRock, and concluded that digital currencies have significant potential for financial institutions making interbank payments and cross-border payment.

Project LionRock developed into a joint project with the Bank of Thailand, Project Inthanon-LionRock, when both parties signed a memorandum of understanding in May of 2019 to study the application of cross-border payments. The study developed a cross-border network corridor, which allowed for Thai and Hong Kong banks to conduct foreign exchange transactions on a peer-to-peer basis. The findings were published on January 22nd, 2020 and concluded that the project achieved its intended objectives, with Hong Kong hoping to expand the project to more central banks.

In November 2019, the HKMA also signed a memorandum of understanding with the Institute of Digital Currency, a subsidiary of the People’s Bank of China. The aim of this project was to create a proof of concept in the first quarter of 2020 linking their two trade finance platforms. ",BoT & R3,DLT (R3 Corda),,,https://www.hkma.gov.hk/media/eng/doc/key-functions/financial-infrastructure/Report_on_Project_Inthanon-LionRock.pdf,
15,Iceland,Research,"While Iceland is a popular destination for cryptocurrency mining activities,  the legality of cryptocurrencies in Iceland is less clear. However, the Central Bank of Iceland is exploring the possibility of issuing a retail CBDC, Rafkróna. ","When a pseudonymous founder released Auroracoin as the ""unofficial national digital currency of Iceland"" in 2014, the Central Bank of Iceland warned that it was not a recognized currency.

The Central Bank of Iceland released an interim research report for issuance of a CBDC, Rafkróna, in 2018, noting that it ""does not recommend that the rafkróna be introduced, and no decisions have been taken on the matter. Discussions with stakeholders lie ahead, as do further analysis and assessments of the pros and cons of issuing a rafkróna.""

In June 2019, the Financial Supervisory Authority of Iceland (FME) approved Monerium's e-money license to issue fiat-backed stablecoins using the ethereum blockchain.",,,,,https://www.cb.is/library/Skraarsafn---EN/Reports/Special_Publication_12.pdf,
16,India,Inactive,"The Reserve Bank of India (RBI) has said that it is too early to think about a CBDC, and has strongly opposed private digital currencies.","RBI formed a working group to analyze the potential of a rupee-backed CBDC in 2018. However, central bank governor Shaktikanta Das said 'it is too early' to talk about CBDCs due to technological handicaps.",,,"The central bank governor Shaktikanta Das said ""It is very early to speak on a central bank issuing digital currencies. Some discussions are going on. Technology has not yet fully evolved.""",,"https://www.ledgerinsights.com/india-central-bank-digital-currency-rupee/
https://blockchain.news/news/india-taking-a-step-towards-cbdc-after-the-debut-of-its-blockchain-based-payment-system-vajra
https://cointelegraph.com/news/india-media-reports-central-bank-has-postponed-crypto-rupee-plans
",
17,Indonesia,Research,"The Bank Indonesia is conducting a study into the issuance of a digital rupiah and the findings are expected to be released in 2020. However, the head of transformation for the Bank Indonesia, Onny Widjanarko, said in 2018 there was currently no plan for a pilot or trial of a digital rupiah. The bank appears to be motivated in part by fears over cryptocurrencies’ capacity for financial disruption and use in illicit activity, which has led to their ban in being used for payments.","According to The Jakarta Post on January 29th, 2018, the assistant to Bank Indonesia executive director for payment systems Susiato Dewi said the digital rupiah would be trialled in 2018 to increase efficiency in the payment system. However, on February 1st, 2018, Onny Widjanarko, the head of transformation for Bank Indonesia, stated that there was no plan for a pilot project or trial. Adding further that Bank of Indonesia was still in the research process and that a study on the possible issuance was intended to be completed in 2020. This was expounded upon further by Bank Indonesia Governor Agus Martowardojo, who, in February 2018, stressed that the digital rupiah would not be issued soon and that the research could take up to two years. 

Bank Indonesia, like many other central banks, has been influenced by the rise of cryptocurrencies and will continue to monitor the space. However, the bank has outlawed the use of cryptocurrencies for payments, fearing their destabilizing effects and use in illicit activity. Regarding this issue, former finance minister Chatib Basri stated the central bank needed a digital currency to counter the circulation of cryptocurrencies.
",,,,,https://cointelegraph.com/news/pakistans-central-bank-aims-to-issue-its-own-digital-currency-by-2025,
18,Iran,Research,The Central Bank of Iran and the Iranian government have been jointly working on developing a national digital currency to circumvent economic sanctions imposed by the United States and facilitate cross-border transactions. Iranian President Hassan Rouhani has even called for a Muslim cryptocurrency to cut dependence on the dollar.,"After the United States’ withdrawal from the Iran Nuclear Deal and reimplementation of sanctions in 2018, Iran began to actively pursue the development of a national digital currency. In July of 2018, Alireza Daliri, the head of investment affairs for Iran’s Science and Technology Department, said over the next three months they would integrate blockchain technology with the central bank for implementation of a cryptocurrency across domestic banks. 

While it does not appear that Iran has issued a rial-backed digital currency, reports indicate that a gold-backed cryptocurrency has been launched in collaboration with Kuknos Company and four Iranian banks. Titled PayMon, it is intended to tokenize bank assets and properties. 

In December 2019, Iranian President Hassan Rouhani called for a Muslim cryptocurrency to deepen economic cooperation and exit the dollar’s orbit. Notably, Iran has also sought cooperation with Russia and Armenia by signing a trilateral blockchain agreement.",,,,,,
19,Israel,Research,"In November 2018, a team from the Bank of Israel released a report on their research into launching a digital currency and recommended against issuing one in the near future. However, the team stated they would continue to monitor developments with digital currencies and be prepared to issue a digital currency if it became necessary.","In November 2017, the Bank of Israel Governor Dr. Karnit Flug appointed a team to research the advantages and disadvantages of issuing a central bank digital. The findings of the team’s research was published a year later, in November 2018, and recommended against issuing a digital currency in the near future. However, the team will continue to monitor significant developments with central bank digital currencies abroad, in order to be prepared to launch a currency, should it become necessary. ",,,,,,
20,Italy,Inactive,"The deputy governor of the Bank of Italy has said that central banks are not ready to launch CBDCs, at least in the short term. ","In a 2018 speech, Fabio Panetta, the deputy governor of the Bank of Italy, stated that the advantages of CBDCs over existing digital payment systems were ""at best unclear"". ",,,"Fabio Panetta, the deputy governor of the Bank of Italy “If central banks decided to make an asset – the CBDC – free of credit and liquidity risk, possibly remunerated, and available to anybody at no cost, their role in the economy would fundamentally change… Are central banks ready to play this new role and to deal with the attendant complexities? In the short term my answer is no.”",,"https://cointelegraph.com/news/bank-of-italy-deputy-governor-gov-t-cryptocurrencies-can-save-eu-up-to-76-blnn
https://www.coindesk.com/bank-italy-official-central-banks-not-ready-issue-digital-currencies
",
21,Japan,Research,"While the Bank of Japan is in very early research stages, politicians have recently adopted a more aggressive approach towards developing a digital currency amidst growing consumer demand and Chinese CBDC progress.","As China makes progress on the digital yuan, the Bank of Japan has begun more seriously considering a retail digital currency. BoJ ministers cite that digital currencies can improve the interoperability of private payment systems. The BoJ has raised concerns of privacy and implications for countries with negative interest rates.

BoJ board member Takako Masa has said, “In Japan, we don’t have any plans now to issue central bank digital currencies, but we need to make an effort so we’re ready to respond, in case public demand for central bank digital currencies rises dramatically.” Line, Japan’s largest social network, launched a digital currency (dubbed “Link”) for use in Japan in April 2020.

Akira Amari, former economy minister and a member of the ruling Liberal Democratic Party, organized a group of lawmakers to advocate that digital currencies be placed on the G-7’s agenda in 2020. Kozo Yamamoto, also of the LDP, has proposed that digital currencies become part of the country’s mid-year policy agenda and be enacted in 2-3 years.",,,"BoJ board member Takako Masa has said, “In Japan, we don’t have any plans now to issue central bank digital currencies, but we need to make an effort so we’re ready to respond, in case public demand for central bank digital currencies rises dramatically.",,,
22,Lithuania,Inactive,"As part of the European Union, Lithuania cannot issue its own CBDC, but it has issued a digital collectible token through its central bank called LBCoin.",The Bank of Lithuania announced in 2018 its plans to issue a digital collector coin to mark the centenary of the restoration of Lithuania's statehood. The digital collector coin is intended for collection and not issued as legal tender. ,,,,,https://www.lb.lt/en/news/lithuania-s-central-bank-to-issue-the-world-s-first-digital-collector-coin,
23,Marshall Islands,Development,"The Republic of the Marshall Islands (RMI) revealed a planned digital currency, the Marshallese Sovereign (SOV) in February 2018 as a second legal tender (in addition to the U.S. dollar). However, the SOV is not considered a CBDC because it is not the liability of a central bank.","In February 2018, the RMI Parliament passed the “Declaration and Issuance of the Sovereign Currency Act 2018”, allowing the Ministry of Finance to issue the SOV and recognizing it as legal tender alongside the U.S. dollar. The SOV is expected to be issued in 2020 via an initial coin offering (ICO). 

SOV's blockchain infrastructure is being developed by SFB Technologies, a NY-based fintech firm, and will use a protocol developed by Algorand, a blockchain startup founded by MIT professor Silvio Micali. 

The SOV is not a digital representation of fiat currency (there is no policy that it will be redeemable for U.S. dollars) but derives its value through the ICO. According to the IMF, the SOV is not a CBDC since RMI does not have a central bank; moreover, the IMF states that SOV poses financial integrity, monetary instability, cyber, and criminal misuse risks, which outweigh its potential benefits. 

","SFB Technologies, Algorand",permissioned PoS (Algorand protocol),"Kenneth Kedi, Speaker at the RMI Parliament, claiming ""the addition of Algorand strengthens the team behind the SOV initiative as well as further development of the financial services industry in the country.""",03.02.2020,https://www.imf.org/~/media/Files/Publications/CR/2018/cr18271.ashx https://atozmarkets.com/news/marshall-islands-launches-cbdc-algorand-blockchain/ https://cointelegraph.com/news/marshall-islands-sovereign-digital-currency-will-be-based-on-algorand," “Declaration and Issuance of the
Sovereign Currency Act 2018” (the “SOV Act” or the law)"
24,Netherlands,Research,"The Central Bank of Netherlands (DNB) plans to proceed in a leading role in the Eurozone with research and development. Its plan will likely involve cooperation and communication with the European Central Bank, under whose mandate the discussion of CBDC falls.","The Central Bank of the Netherlands (DNB) published a report on April 21, 2020 that weighed the implementation of a possible CBDC. As the DNB wrote in its report, “DNB will therefore contribute this study within that policy debate, and intends to play an active role in policy discussion and its elaboration.” Although there are not yet any formalized independent initiatives for a CBDC, the DNB plan will likely involve cooperation and communication with the European Central Bank, under whose mandate the discussion of CBDC falls. ",,,"In a statement, the Central Bank of the Netherlands noted that ""People here use cash for payments less often compared to residents of other European countries. If the Eurosystem should decide to experiment with specific forms of CBDC, DNB is prepared to play a leading role. The Netherlands provides a suitable testing ground for such an experiment.""",,"https://www.dnb.nl/en/binaries/WEB_127593_OS_CBDC_tcm47-388318.PDF
https://www.reuters.com/article/netherlands-cenbank-digital-currency/dutch-central-bank-makes-case-for-own-digital-currency-idUSL8N2C92D9
https://www.dnb.nl/en/payments/cryptos/index.jsp
",
25,New Zealand,Research,"Though some New Zealand organizations have called for a national bank digital currency, the National Bank is still weighing the benefits and drawbacks of such a program. ","New Zealand has recently become the first country to legalize salary payments in cryptocurrency,  with legislation going into effect September 1, 2020.",,,,,"https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12078167
https://www.rbnz.govt.nz/-/media/ReserveBank/Files/Publications/Bulletins/2018/2018apr81-03.pdf?revision=986f16e9-262e-4e60-b789-f46a44eeb858
https://www.computerworld.com/article/3481679/group-calls-for-nz-digital-currency.html
",
26,North Korea,Inactive,North Korean authorities have shown significant interest in bitcoin and other cryptocurrencies; however there is no evidence that the government is pursuing a CBDC.,"North Korea has shown extensive interest in cryptocurrencies, demonstrating expertise in mining, hacking exchanges, cryptojacking, and more. The North Korean government has so far refused to recognize or refute information about its intention to issue a national digital currency. Among the reasons for issuing a sovereign digital coin, experts name the circumvention of Western sanctions, money laundering, speculation and the manufacturing of weapons of mass destruction. 

",Joseon Expo,,North Korea's Embassy to the U.N. in New York would neither confirm nor deny Cao de Benos's claim. “I am not in a position to give you an answer.”,,https://www.vice.com/en_us/article/9ke3ae/north-korea-is-building-its-own-bitcoin https://cointelegraph.com/news/north-korea-needs-its-own-national-crypto-cbdc-fever-spreads-in-asia,
27,Norway,Research,"Norway's central bank, Norges Bank, does not have plans to issue a CBDC, but has established an internal working group to study digital currencies. Governor Øystein Olsen has stated that, ""More information is needed for us to conclude whether the introduction of a central bank digital currency is an appropriate measure for promoting a secure and effective payment system and ensuring continued confidence in the monetary system.""","In May 2018, the working group released a report identifying key considerations in the decision to develop a CBDC. In June 2019, a second report explored the purposes of a CBDC and assessed potential solutions. In the next phase of the project, the working group will perform a more detailed assessment of the proposed solutions, the technologies they will require and their possible impact.

",,,"“It is too early to conclude whether Norges Bank should take the initiative in introducing a CBDC. The impacts of a CBDC — and the socio-economic cost-benefit analysis — will depend on the specific design. The design, in turn, will depend on the purpose of introducing a CBDC.”",,"https://static.norges-bank.no/contentassets/166efadb3d73419c8c50f9471be26402/nbpapers-1-2018-centralbankdigitalcurrencies.pdf?v=05/18/2018121950&ft=.pdf

https://static.norges-bank.no/contentassets/79181f38077a48b59f6fbdd113c34d2c/nb_papers_2_19_cbdc.pdf?v=06/27/2019121511&ft=.pdf

https://www.r3.com/wp-content/uploads/2018/06/Cashless_Society__R3.pdf",
