,Owner,"Country, region",Country Code,Status,Overview,Key Developments,User,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
11,Eve,Curaçao and Sint Maarten ,CUW,Inactive,"The Centrale Bank van Curaçao en Sint Maarten (CBCS) is exploring the creation of a CBDC in partnership with Bitt Inc., a Barbados-based fintech company.","In August 2018, the Centrale Bank van Curaçao en Sint Maarten (CBCS) and the Barbados-based fintech company Bitt Inc. signed a Memorandum of Understanding (MOU) to jointly explore the feasibility of issuing CBDC (a digital Curaçao and Sint Maarten guilder) for the two nations.

In the MOU, Interim Director of the CBDCS Leila Matroos-Lasten noted that the central bank seeks to ""address its challenges proactively by exploring the latest technology available, for example, to reduce the level of cash usage within the monetary union, and to facilitate more secure, more AML and KYC compliant, and more efficient financial transactions in and between Curaçao and Sint Maarten.""",NA,Bitt Inc. ,Blockchain,,,https://cbcs.spin-cdn.com/media/press_releases/20190317_pb2018_033_mou_cbcs_bitt_inc_eng.pdf,
12,Eve,Denmark,DNK,Inactive,"The Central Bank of Denmark conducted research on CBDC in 2016 and 2017, and determined that it would pose significant legal, financial, and administrative challenges, without clear benefits for the Danish society. It currently has no plans to issue a CBDC.","The Central Bank of Denmark explored the viability for a national digital currency (E-kroner) in 2016 and 2017. The critical question, Central Bank Governor Lars Rohde noted, was whether the CBDC ""should be anonymous or not.""

In its December 2017 report, the Danish Central Bank concluded that ""the potential benefits of introducing central bank digital currency for households and businesses in Denmark would not match the considerable challenges which this introduction would present."" Citing Denmark's existing secure and effective payment infrastructure, the report noted that the efficiency gains from a CBDC does not outweigh the risks of financial instability that a CBDC can lead to the risk of systemic bank runs.",NA,,,,,"http://www.nationalbanken.dk/en/publications/Documents/2017/12/Analysis%20-%20Central%20bank%20digital%20currency%20in%20Denmark.pdf
https://www.bloomberg.com/news/articles/2016-12-11/blockchain-lures-central-banks-as-danes-consider-minting-e-krone",
13,Victor,Egypt,EGY,Inactive,The central bank of Egypt (CBE) announced that it exploring the value of a CBDC in December 2018. No further updates have been made since this announcement.,The Central Bank of Egypt (CBE) believes that a CBDC can minimize issuance and transaction costs compared to banknotes. The central bank studied the feasibility of CBDC in cooperation with international banks without disclosing names. ,NA,,,,,https://medium.com/security-token-group/list-of-all-central-bank-digital-currency-and-stablecoin-initiatives-1bb6f6d61ea3,
14,Eve,Estonia,EST,Inactive,"In 2014, Estonia announced the creation of estcoins, crypto tokens distributed and traded amongst the nation's ""e-residents"". After pushback from the ECB, the Estonian government clarified that estcoins are not a national digital currency meant to replace the euro.","Estonia's e-Residency program, which allows foreign nationals to apply for an Estonian digital ID and gain access to digital services, announced the proposal for a digital token, named ""Estcoin,"" in 2017. 

The government has proposed three variants of the estcoin: (1) a payment mechanism between members of the e-residency community, (2) a digital identity used for activities like digitally signing contracts and enforcing smart contracts, and (3) a euro-pegged token that could be used for low-cost cross-border transactions.

The proposal has been criticized by Mario Draghi and other ECB officials since Estonia is a member of the euro zone and cannot propose a national digital currency. The Estonian government has clarified that estcoins are not a replacement for the euro, but will be used more narrowly within the e-residency program.",NA,,,"Kaspar Korjus, managing director of the e-Residency program, clarified the Estcoin proposal, ""Much of the criticism of Estcoin was based on the fact that Estonia simply can’t start its own cryptocurrency even if it wanted to. Estonia’s only currency is the euro and this is an essential feature of our EU membership, which we are proud to have. No one here is interested in changing that. That’s why we have always referred to Estcoin as a proposed ‘crypto token’.""",,https://medium.com/e-residency-blog/were-planning-to-launch-estcoin-and-that-s-only-the-start-310aba7f3790,
15,Victor,Finland,FIN,Inactive,"The Suomen Pankki (SP), Finland’s central bank, acknowledged the potential of CBDC in a report released in 2017. No further updates have been issued since the report.","The SP recognized the growing interest in CBDCs and suggested that it would conduct research into potential benefits. The SP hasn’t ruled out distributed ledger technology (DLT) but viewed blockchains as slow, poorly scalable, and with latency issues. ",NA,,,"Aleksi Grym, Head of Digitalisation at Bank of Finland.“A blockchain network would not be particularly suitable because it would be slow, poorly scalable, have latency issues, and because it would be complicated to incentivise and govern how its nodes should operate. It’s just much easier and more efficient for a bank to keep its ledger behind a firewall and let nobody near it.”",,https://medium.com/security-token-group/list-of-all-central-bank-digital-currency-and-stablecoin-initiatives-1bb6f6d61ea3,
16,Eve,Haiti,HTI,Inactive,"La Banque de la République d'Haiti, the central bank of Haiti, is considering a pilot to create a digital version of the Haitian Gourde. It has invited Bitt Inc., a Barbados-based fintech company, to present on the potential benefits of a blockchain-based CBDC in Haiti in front of key decisionmakers of banks, but it has not revealed further steps for further research or development.","In 2019, La Banque de la République d'Haiti invited a Barbados-based fintech company, Bitt Inc., to present the potential benefits of a CBDC - including financial inclusion and improvements to the domestic payments system and remittance flows.",NA,,,,,http://www.mnialive.com/articles/bank-of-the-republic-of-haiti-ready-to-consider-digital-currency,
17,Nitya,India,IND,Research,"The Indian government has introduced a bill that would ban private cryptocurrencies and create a facilitative framework for creation of the official digital currency to be issued by the Reserve Bank of India.
","The legislation, listed for debate in the current parliamentary session, seeks ""to prohibit all private cryptocurrencies in India, however, it allows for certain exceptions to promote the underlying technology of cryptocurrency and its uses,"" the agenda said.

In mid-2019, a government panel recommended banning all private cryptocurrencies, with a jail term of up to 10 years and heavy fines for anyone dealing in digital currencies. The panel has, however, asked the government to consider the launch of an official government-backed digital currency in India, to function like bank notes, through the Reserve Bank of India.",NA,,,"The central bank governor Shaktikanta Das said ""It is very early to speak on a central bank issuing digital currencies. Some discussions are going on. Technology has not yet fully evolved.""",,https://www.thehindu.com/sci-tech/technology/india-proposes-law-to-ban-cryptocurrencies-create-official-digital-currency/article33703822.ece,
18,Victor,Italy,ITA,Inactive,"The deputy governor of the Bank of Italy has said that the central bank is not ready to launch a CBDC, at least in the short term. ","In a 2018 speech, Fabio Panetta, the deputy governor of the Bank of Italy, stated that the advantages of CBDCs over existing digital payment systems were ""at best unclear.""",NA,,,"Fabio Panetta, the deputy governor of the Bank of Italy “If central banks decided to make an asset – the CBDC – free of credit and liquidity risk, possibly remunerated, and available to anybody at no cost, their role in the economy would fundamentally change… Are central banks ready to play this new role and to deal with the attendant complexities? In the short term my answer is no.”",,"https://cointelegraph.com/news/bank-of-italy-deputy-governor-gov-t-cryptocurrencies-can-save-eu-up-to-76-blnn
https://www.coindesk.com/bank-italy-official-central-banks-not-ready-issue-digital-currencies
",
19,Eve,Lithuania,LTU,Inactive,"As part of the European Union, Lithuania cannot issue its own CBDC, but it has issued a digital collectible token through its central bank called LBCoin.",The Bank of Lithuania announced in 2018 its plans to issue a digital collector coin to mark the centenary of the restoration of Lithuania's statehood. The digital collector coin is intended for collection and not issued as legal tender. ,NA,,,,,https://www.lb.lt/en/news/lithuania-s-central-bank-to-issue-the-world-s-first-digital-collector-coin,
20,Eve,Morocco,MAR,Inactive,"Bank Al-Maghrib, the central bank of Morocco, is following a participatory approach to leverage fintech in its financial inclusion strategy, including ""creating conditions for greater use of financial products by accelerating dematerialization of payments, particularly between the State and the users,"" said the bank's Governor, Abdellatif Jouahri","In the opening speech at the Africa Blockchain Summit in November 2019, Bank Al-Maghrib's Governor Jouahri remarked on the growing prominence of blockchain technology and digital currencies, and the importance for Bank Al-Maghrib to continue monitoring those developments and to leverage fintech in implementing Morocco's financial inclusion strategy",NA,,,,,http://www.bkam.ma/en/content/view/full/563630,
21,Victor,North Korea,PRK,Inactive,North Korean authorities have shown significant interest in bitcoin and other cryptocurrencies; however there is no evidence that the government is pursuing a CBDC.,"North Korea has shown extensive interest in cryptocurrencies, demonstrating expertise in mining, hacking exchanges, cryptojacking, and more. The North Korean government has so far refused to recognize or refute information about its intention to issue a national digital currency. Among the reasons for issuing a sovereign digital coin, experts name the circumvention of Western sanctions, money laundering, speculation and the manufacturing of weapons of mass destruction. 

",NA,Joseon Expo,,North Korea's Embassy to the U.N. in New York would neither confirm nor deny Cao de Benos's claim. “I am not in a position to give you an answer.”,,https://www.vice.com/en_us/article/9ke3ae/north-korea-is-building-its-own-bitcoin https://cointelegraph.com/news/north-korea-needs-its-own-national-crypto-cbdc-fever-spreads-in-asia,
22,Amanda,Trinidad and Tobago,TTO,Inactive,"While the Central Bank of Trinidad and Tobago welcomes financial technology developments and believes that they can improve financial stability; as of November 2018, the bank does not view the development of a digital currency as a priority.","The Central Bank of Trinidad and Tobago is committed to engaging with financial technology companies to develop a better understanding of potential applications for itself and domestic institutions. However, a statement the bank released in November 2018, indicated that it does not view the development of a digital currency as priority but will continue to study the area.",NA,,,,,,
23,,Antigua and Barbuda,ATG,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
24,Victor,China,CHN,Pilot,"In April 2020, China became the world's first major economy to pilot a digital currency. People's Bank of China are aiming for widespread domestic use of the DC/EP by the 2022 Winter Olympics in Beijing.","In 2014, the People's Bank of China established a special research group to demonstrate the feasibility of the central bank issuing legal digital currency. China launched a project called Digital Currency/Electronic Payments, or “DC/EP” in 2017, amid a wider push to develop its high-technology sectors. Chinese officials described the currency as having “controllable anonymity”, giving the government far-reaching powers to identify money laundering and other illicit activity. Chinese leaders may also be seeking to reduce reliance on U.S. financial institutions and oversight.

The DC/EP project accelerated in 2019 when Facebook introduced Libra. “If Libra is accepted by everyone and becomes a widely used payment tool, then after some time, it is entirely possible that it will develop into a global, super-sovereign currency,” according to Mu Changchun, Director of PBoC Digital Currency Research Institute. “We need to plan ahead to protect our monetary sovereignty.”

In April 2020, China piloted the digital currency in four cities, allowing commercial banks to run internal tests like conversions between cash and digital money, account-balance checks, and payments. The piloted program expanded to 28 major cities in August. Aiming for broad circulation in 2022, China plans to pilot the digital currency in major cities such as Beijing and Shanghai in early 2021.","Wholesale, Retail",Didi Chuxing,UTXO Mode/Centralized Ledger,"Yao Qian, Former Director of PBoC Digital Currency Research Institute
01.02.2019
The central bank is conducting digital currency research and development experiments

Fan Yifei, Deputy governor of the PBoC
02.21.2019
Reform and innovation should be strengthened and the PBoC’s DC/EP research and development should be further promoted.

Huang Qifan, Vice Chairman of China International Economic Exchange Center, Former deputy director of the Finance Committee of the National People's Congress of China
10.28.2019 at the Bund Financial Summit 2019
PBoC is likely to be the world's first central bank to launch digital currency

Changchun Mu, Director of PBoC Digital Currency Research Institute
12.21.2019 at 2019 Annual Meeting of Chinese Finance Society
At present, the People's Bank of China's DC/EP has basically completed the top-level design, standard formulation, functional research and development, joint debugging testing, etc.
","2014, The People's Bank of China has established a special research group on legal digital currency to demonstrate the feasibility of the central bank issuing legal digital currency
01.20.2016 The PBoC first proposed the goal of publicly issuing digital currencies
01.29.2017 The PBoC officially established the Digital Currency Research Institute
05.27.2019 The PBoC's Digital Currency Research Institute began piloting the ""Bay Area Trade Finance Blockchain Platform"", or ""PBCTFP"" for short, in September 2018. Until May 2019, PBCTFP has built 4 applications, 26 banks participated, completed more than 17,000 transactions, and transacted total of more than 4 billion yuan.
04.15.2020 The PBoC’s digital currency electronic payment (DCEP), had begun internal testing at the Agricultural Bank of China. 
04.22．2020 The Xiong'an New District government held a pilot presentation on the DCEP to 19 units, includes McDonald's, Starbucks.
","http://finance.sina.com.cn/money/nmetal/roll/2019-01-02/doc-ihqhqcis2474934.shtml
https://baijiahao.baidu.com/s?id=1648615285296719477&wfr=spider&for=pc
http://www.bjnews.com.cn/finance/2019/12/23/665206.html
http://www.xinhuanet.com/globe/2019-07/25/c_138253154.htm",
